TEAM,W,L,W/L%,GB,PW,PL,PS/G,PA/G,year
Indiana Pacers*,41,41,0.5,11,40,42,92.6,92.8,2002
Detroit Pistons,32,50,0.39,20,36,46,95.6,97.3,2002
Cleveland Cavaliers,30,52,0.366,22,28,54,92.2,96.5,2002
Atlanta Hawks,25,57,0.305,27,26,56,91,96.2,2002
Chicago Bulls,15,67,0.183,37,16,66,87.6,96.7,2002
San Antonio Spurs*,58,24,0.707,0,63,19,96.2,88.4,2002
Utah Jazz*,53,29,0.646,5,55,27,97.1,92.4,2002
Dallas Mavericks*,53,29,0.646,5,53,29,100.5,96.2,2002
Minnesota Timberwolves*,47,35,0.573,11,45,37,97.3,96,2002
Houston Rockets,45,37,0.549,13,48,34,97.2,94.9,2002
Denver Nuggets,40,42,0.488,18,34,48,96.6,99,2002
Vancouver Grizzlies,23,59,0.28,35,25,57,91.7,97.5,2002
Los Angeles Lakers*,56,26,0.683,0,51,31,100.6,97.2,2002
Sacramento Kings*,55,27,0.671,1,57,25,101.7,95.9,2002
Phoenix Suns*,51,31,0.622,5,48,34,94,91.8,2002
Portland Trail Blazers*,50,32,0.61,6,53,29,95.4,91.2,2002
Seattle SuperSonics,44,38,0.537,12,41,41,97.3,97.3,2002
Los Angeles Clippers,31,51,0.378,25,32,50,92.5,95.3,2002
Golden State Warriors,17,65,0.207,39,17,65,92.5,101.5,2002
New Jersey Nets*,52,30,0.634,0,53,29,96.2,92,2002
Boston Celtics*,49,33,0.598,3,48,34,96.4,94.1,2002
Orlando Magic*,44,38,0.537,8,46,36,100.5,98.9,2002
Philadelphia 76ers*,43,39,0.524,9,46,36,91,89.4,2002
Washington Wizards,37,45,0.451,15,37,45,92.8,94.2,2002
Miami Heat,36,46,0.439,16,36,46,87.2,88.7,2002
New York Knicks,30,52,0.366,22,29,53,91.6,95.6,2002
Detroit Pistons*,50,32,0.61,0,48,34,94.3,92.2,2002
Charlotte Hornets*,44,38,0.537,6,44,38,93.9,92.9,2002
Indiana Pacers*,42,40,0.512,8,42,40,96.8,96.5,2002
