coach,team,seas_num_fr,seas_num_ovr,games,wins,losses,fr_g,fr_w,fr_l,car_g,car_w,car_l,car_w_pct,p_g,p_w,p_l,p_fr_g,p_fr_w,p_fr_l,p_car_g,p_car_w,p_car_l,year,Abbrev,Nickname,Key,Season,Draft_Draft_Trade,Trade,Free_Agency,Total_Roster,Wins,Losses,Team_Achievement,All-Star,MVP,First_Round_Draft,Second_Plus_Round_Draft,Undrafted,Avg_Age,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
Phil Jackson,LAL,2,11,82,56,26,164,123,41,902,668,234,0.741,16.0,15.0,1.0,39.0,30.0,9.0,191.0,141.0,50.0,2001,LAL,Lakers,LAL2001,2001-2002,4.0,2.0,7.0,13.0,58.0,24.0,NBA Champion,2.0,0.0,11.0,1.0,1.0,27.5,82.0,58.0,24.0,3946.0,108.5,102.6,5.9,52.6,1.46,15.3,31.9,67.4,50.0,14.2,49.2,54.5,94.18,53.7
Pat Riley,MIA,6,19,82,50,32,460,293,167,1515,1049,466,0.6920000000000001,3.0,0.0,3.0,43.0,18.0,25.0,255.0,155.0,100.0,2001,MIA,Heat,MIA2001,2001-2002,2.0,4.0,9.0,15.0,36.0,46.0,Lottery,1.0,0.0,9.0,3.0,3.0,27.9,82.0,43.0,39.0,3971.0,101.8,102.5,-0.7,58.0,1.34,15.9,28.1,70.3,49.1,16.0,47.5,52.8,96.56,49.3
George Karl,MIL,3,14,82,52,30,214,122,92,1043,625,418,0.599,18.0,10.0,8.0,26.0,12.0,14.0,120.0,57.0,63.0,2001,MIL,Bucks,MIL2001,2001-2002,5.0,5.0,4.0,14.0,41.0,41.0,Lottery,1.0,0.0,8.0,5.0,1.0,27.9,82.0,51.0,31.0,3971.0,104.4,100.1,4.3,60.9,1.53,16.9,30.1,71.3,51.2,15.2,48.6,53.4,90.18,52.7
Flip Saunders,MIN,6,6,82,47,35,440,227,213,440,227,213,0.516,4.0,1.0,3.0,20.0,5.0,15.0,20.0,5.0,15.0,2001,MIN,Timberwolves,MIN2001,2001-2002,5.0,3.0,7.0,15.0,50.0,32.0,First Round,2.0,0.0,10.0,3.0,2.0,26.5,82.0,13.0,69.0,3971.0,98.8,109.0,-10.2,54.9,1.22,15.3,32.6,69.6,50.2,17.1,46.4,50.4,93.09,42.2
Byron Scott,NJN,1,1,82,26,56,82,26,56,82,26,56,0.317,,,,,,,,,,2001,NJN,Nets,NJN2001,2001-2002,7.0,2.0,5.0,14.0,52.0,30.0,NBA Finals (Loss),1.0,0.0,7.0,6.0,1.0,25.3,82.0,54.0,28.0,3991.0,103.9,99.6,4.3,62.7,1.58,17.2,34.0,69.3,51.8,15.4,47.2,51.9,88.59,54.2
Jeff Van Gundy,NYK,6,6,82,48,34,401,238,163,401,238,163,0.594,5.0,2.0,3.0,69.0,37.0,32.0,69.0,37.0,32.0,2001,NYK,NY Knicks,NYK2001,2001-2002,2.0,7.0,5.0,14.0,30.0,52.0,Lottery,0.0,0.0,9.0,4.0,1.0,29.2,82.0,27.0,55.0,3946.0,101.9,106.1,-4.3,59.5,1.32,16.6,33.1,65.0,49.6,17.5,48.4,52.4,91.05,47.5
Doc Rivers,ORL,2,2,82,43,39,164,84,80,164,84,80,0.512,4.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0,3.0,2001,ORL,Magic,ORL2001,2001-2002,3.0,5.0,7.0,15.0,44.0,38.0,First Round,1.0,0.0,9.0,3.0,3.0,27.8,82.0,34.0,48.0,3956.0,106.4,109.6,-3.2,57.8,1.42,15.9,32.4,68.0,50.3,15.5,48.5,53.5,92.34,46.8
Larry Brown,PHI,4,22,82,56,26,296,164,132,1736,1017,719,0.586,23.0,12.0,11.0,41.0,20.0,21.0,166.0,81.0,85.0,2001,PHI,76ers,PHI2001,2001-2002,5.0,7.0,3.0,15.0,43.0,39.0,First Round,2.0,0.0,10.0,4.0,1.0,26.6,82.0,59.0,23.0,3961.0,106.1,97.8,8.3,60.6,1.57,17.1,32.1,69.7,51.0,15.1,49.2,53.4,89.96,56.5
Scott Skiles,PHO,2,2,82,51,31,144,91,53,144,91,53,0.632,4.0,1.0,3.0,13.0,5.0,8.0,13.0,5.0,8.0,2001,PHO,Suns,PHO2001,2001-2002,3.0,8.0,3.0,14.0,36.0,46.0,Lottery,0.0,0.0,8.0,3.0,3.0,25.7,82.0,52.0,30.0,3951.0,110.3,108.0,2.3,51.6,1.34,14.7,35.7,68.1,51.7,15.1,49.5,54.6,89.24,50.4
Mike Dunleavy,POR,4,10,82,50,32,296,190,106,788,398,390,0.505,3.0,0.0,3.0,36.0,18.0,18.0,59.0,31.0,28.0,2001,POR,Trail Blazers,POR2001,2001-2002,4.0,7.0,4.0,15.0,49.0,33.0,First Round,0.0,0.0,9.0,4.0,2.0,28.2,82.0,44.0,38.0,3981.0,103.7,102.7,1.0,55.8,1.27,15.1,29.6,68.7,49.4,16.0,47.6,53.4,88.71,50.4
Rick Adelman,SAC,3,11,82,55,27,214,126,88,823,483,340,0.5870000000000001,8.0,3.0,5.0,18.0,7.0,11.0,87.0,43.0,44.0,2001,SAC,Kings,SAC2001,2001-2002,4.0,5.0,4.0,13.0,61.0,21.0,Conference Finals,2.0,0.0,10.0,3.0,0.0,26.9,82.0,59.0,23.0,3996.0,108.9,102.2,6.7,57.8,1.59,17.1,29.7,69.8,50.8,14.7,52.4,55.9,91.73,55.6
Gregg Popovich,SAS,5,5,82,58,24,360,221,139,360,221,139,0.614,13.0,7.0,6.0,43.0,27.0,16.0,43.0,27.0,16.0,2001,SAS,Spurs,SAS2001,2001-2002,3.0,2.0,10.0,15.0,58.0,24.0,Second Round,1.0,1.0,10.0,4.0,1.0,28.4,82.0,67.0,15.0,3946.0,110.4,100.4,9.9,65.9,1.9,19.7,27.3,70.3,49.8,14.5,54.0,57.1,99.28,56.9
Paul Westphal,SEA,3,7,15,6,9,147,76,71,426,267,159,0.627,,,,5.0,2.0,3.0,49.0,27.0,22.0,2001,SEA,SuperSonics,SEA2001,2001-2002,7.0,2.0,6.0,15.0,45.0,37.0,First Round,1.0,0.0,5.0,9.0,1.0,25.0,82.0,42.0,40.0,3971.0,105.3,104.7,0.6,61.9,1.62,17.3,35.4,67.4,51.0,15.2,47.0,51.8,90.72,51.0
Nate McMillan,SEA,1,1,67,38,29,67,38,29,67,38,29,0.5670000000000001,,,,,,,,,,2001,SEA,SuperSonics,SEA2001,2001-2002,7.0,2.0,6.0,15.0,45.0,37.0,First Round,1.0,0.0,5.0,9.0,1.0,25.0,82.0,42.0,40.0,3971.0,105.3,104.7,0.6,61.9,1.62,17.3,35.4,67.4,51.0,15.2,47.0,51.8,90.72,51.0
Lenny Wilkens,TOR,1,28,82,47,35,82,47,35,2242,1226,1016,0.547,12.0,6.0,6.0,12.0,6.0,6.0,169.0,78.0,91.0,2001,TOR,Raptors,TOR2001,2001-2002,3.0,9.0,4.0,16.0,42.0,40.0,First Round,1.0,0.0,10.0,3.0,3.0,28.0,82.0,33.0,49.0,3976.0,104.5,107.2,-2.7,55.9,1.38,15.9,31.6,68.6,49.8,15.8,48.5,53.1,92.12,47.5
Jerry Sloan,UTA,13,16,82,53,29,1017,690,327,1232,784,448,0.636,5.0,2.0,3.0,143.0,74.0,69.0,149.0,76.0,73.0,2001,UTA,Jazz,UTA2001,2001-2002,9.0,1.0,4.0,14.0,44.0,38.0,First Round,1.0,0.0,8.0,2.0,4.0,28.3,82.0,62.0,20.0,3956.0,112.7,105.7,7.0,57.5,1.71,17.4,30.4,65.6,49.0,14.0,53.4,57.1,97.35,54.6
Sidney Lowe,VAN,1,3,82,23,59,82,23,59,217,56,161,0.258,,,,,,,,,,2001,VAN,Grizzlies,VAN2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonard Hamilton,WAS,1,1,82,19,63,82,19,63,82,19,63,0.23199999999999998,,,,,,,,,,2001,WAS,Wizards,WAS2001,2001-2002,5.0,6.0,3.0,14.0,37.0,45.0,Lottery,1.0,0.0,9.0,4.0,1.0,25.9,82.0,45.0,37.0,3941.0,104.2,101.5,2.7,61.2,1.43,16.9,30.8,66.3,48.7,16.3,48.9,53.5,89.65,51.5
Lon Kruger,ATL,2,2,82,33,49,164,58,106,164,58,106,0.354,,,,,,,,,,2002,ATL,Hawks,ATL2002,2002-2003,6.0,4.0,5.0,15.0,35.0,47.0,Lottery,0.0,0.0,9.0,1.0,5.0,26.4,82.0,39.0,43.0,3961.0,104.3,104.7,-0.4,57.7,1.41,16.3,34.9,67.3,51.2,16.1,47.6,51.9,91.21,49.5
Jim O'Brien,BOS,2,2,82,49,33,130,73,57,130,73,57,0.562,16.0,9.0,7.0,16.0,9.0,7.0,16.0,9.0,7.0,2002,BOS,Celtics,BOS2002,2002-2003,3.0,7.0,4.0,14.0,44.0,38.0,Second Round,2.0,0.0,9.0,4.0,1.0,27.7,82.0,61.0,21.0,3951.0,107.9,99.7,8.1,60.0,1.74,17.7,30.6,69.0,50.2,14.2,49.7,53.9,96.74,55.2
Paul Silas,CHH,4,7,82,44,38,281,161,120,527,239,288,0.45399999999999996,9.0,4.0,5.0,23.0,11.0,12.0,23.0,11.0,12.0,2002,CHH,Hornets,CHH2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Floyd,CHI,4,4,25,4,21,239,49,190,239,49,190,0.205,,,,,,,,,,2002,CHI,Bulls,CHI2002,2002-2003,9.0,1.0,5.0,15.0,30.0,52.0,Lottery,0.0,0.0,9.0,4.0,2.0,24.5,82.0,27.0,55.0,3961.0,100.3,106.6,-6.3,62.3,1.51,17.0,34.1,66.8,49.7,16.0,45.5,49.5,91.35,44.2
