TEAM,YEAR,GP_home,W_home,L_home,WIN%_home,GP_road,W_road,L_road,WIN%_road
Denver Nuggets,2011-12,33,20,13,0.606,33,18,15,0.545
Chicago Bulls,2011-12,33,26,7,0.788,33,24,9,0.727
Los Angeles Lakers,2011-12,33,26,7,0.788,33,15,18,0.455
Indiana Pacers,2011-12,33,23,10,0.697,33,19,14,0.576
Miami Heat,2011-12,33,28,5,0.848,33,18,15,0.545
Philadelphia 76ers,2011-12,33,19,14,0.576,33,16,17,0.485
Toronto Raptors,2011-12,33,13,20,0.394,33,10,23,0.303
Boston Celtics,2011-12,33,24,9,0.727,33,15,18,0.455
Detroit Pistons,2011-12,33,18,15,0.545,33,7,26,0.212
Washington Wizards,2011-12,33,11,22,0.333,33,9,24,0.273
Utah Jazz,2011-12,33,25,8,0.758,33,11,22,0.333
Memphis Grizzlies,2011-12,33,26,7,0.788,33,15,18,0.455
New Orleans Hornets,2011-12,33,11,22,0.333,33,10,23,0.303
Charlotte Bobcats,2011-12,33,4,29,0.121,33,3,30,0.091
Houston Rockets,2013-14,41,33,8,0.805,41,21,20,0.512
Phoenix Suns,2013-14,41,26,15,0.634,41,22,19,0.537
Los Angeles Lakers,2013-14,41,14,27,0.341,41,13,28,0.317
New York Knicks,2013-14,41,19,22,0.463,41,18,23,0.439
Golden State Warriors,2013-14,41,27,14,0.659,41,24,17,0.585
Portland Trail Blazers,2013-14,41,31,10,0.756,41,23,18,0.561
Toronto Raptors,2013-14,41,26,15,0.634,41,22,19,0.537
Atlanta Hawks,2013-14,41,24,17,0.585,41,14,27,0.341
San Antonio Spurs,2013-14,41,32,9,0.78,41,30,11,0.732
Brooklyn Nets,2013-14,41,28,13,0.683,41,16,25,0.39
Denver Nuggets,2013-14,41,22,19,0.537,41,14,27,0.341
Dallas Mavericks,2013-14,41,26,15,0.634,41,23,18,0.561
Los Angeles Clippers,2013-14,41,34,7,0.829,41,23,18,0.561
Oklahoma City Thunder,2013-14,41,34,7,0.829,41,25,16,0.61
Miami Heat,2013-14,41,32,9,0.78,41,22,19,0.537
Boston Celtics,2013-14,41,16,25,0.39,41,9,32,0.22
Philadelphia 76ers,2013-14,41,10,31,0.244,41,9,32,0.22
Cleveland Cavaliers,2013-14,41,19,22,0.463,41,14,27,0.341
Washington Wizards,2013-14,41,22,19,0.537,41,22,19,0.537
Orlando Magic,2013-14,41,19,22,0.463,41,4,37,0.098
Minnesota Timberwolves,2013-14,41,24,17,0.585,41,16,25,0.39
Milwaukee Bucks,2013-14,41,10,31,0.244,41,5,36,0.122
Utah Jazz,2013-14,41,16,25,0.39,41,9,32,0.22
Sacramento Kings,2013-14,41,17,24,0.415,41,11,30,0.268
Indiana Pacers,2013-14,41,35,6,0.854,41,21,20,0.512
New Orleans Pelicans,2013-14,41,22,19,0.537,41,12,29,0.293
Charlotte Bobcats,2013-14,41,25,16,0.61,41,18,23,0.439
Chicago Bulls,2013-14,41,27,14,0.659,41,21,20,0.512
Detroit Pistons,2013-14,41,17,24,0.415,41,12,29,0.293
Memphis Grizzlies,2013-14,41,27,14,0.659,41,23,18,0.561
Houston Rockets,2014-15,41,30,11,0.732,41,26,15,0.634
Golden State Warriors,2014-15,41,39,2,0.951,41,28,13,0.683
Cleveland Cavaliers,2014-15,41,31,10,0.756,41,22,19,0.537
Atlanta Hawks,2014-15,41,35,6,0.854,41,25,16,0.61
Portland Trail Blazers,2014-15,41,32,9,0.78,41,19,22,0.463
Los Angeles Clippers,2014-15,41,30,11,0.732,41,26,15,0.634
Detroit Pistons,2014-15,41,18,23,0.439,41,14,27,0.341
San Antonio Spurs,2014-15,41,33,8,0.805,41,22,19,0.537
Toronto Raptors,2014-15,41,27,14,0.659,41,22,19,0.537
Phoenix Suns,2014-15,41,22,19,0.537,41,17,24,0.415
Dallas Mavericks,2014-15,41,27,14,0.659,41,23,18,0.561
Philadelphia 76ers,2014-15,41,12,29,0.293,41,6,35,0.146
Denver Nuggets,2014-15,41,19,22,0.463,41,11,30,0.268
Boston Celtics,2014-15,41,21,20,0.512,41,19,22,0.463
Oklahoma City Thunder,2014-15,41,29,12,0.707,41,16,25,0.39
Chicago Bulls,2014-15,41,27,14,0.659,41,23,18,0.561
Utah Jazz,2014-15,41,21,20,0.512,41,17,24,0.415
Indiana Pacers,2014-15,41,23,18,0.561,41,15,26,0.366
New Orleans Pelicans,2014-15,41,28,13,0.683,41,17,24,0.415
Miami Heat,2014-15,41,20,21,0.488,41,17,24,0.415
Milwaukee Bucks,2014-15,41,23,18,0.561,41,18,23,0.439
Brooklyn Nets,2014-15,41,19,22,0.463,41,19,22,0.463
Orlando Magic,2014-15,41,13,28,0.317,41,12,29,0.293
New York Knicks,2014-15,41,10,31,0.244,41,7,34,0.171
Washington Wizards,2014-15,41,29,12,0.707,41,17,24,0.415
Charlotte Hornets,2014-15,41,19,22,0.463,41,14,27,0.341
Los Angeles Lakers,2014-15,41,12,29,0.293,41,9,32,0.22
Sacramento Kings,2014-15,41,18,23,0.439,41,11,30,0.268
Memphis Grizzlies,2014-15,41,31,10,0.756,41,24,17,0.585
Minnesota Timberwolves,2014-15,41,9,32,0.22,41,7,34,0.171
Houston Rockets,2016-17,41,30,11,0.732,41,25,16,0.61
Cleveland Cavaliers,2016-17,41,31,10,0.756,41,20,21,0.488
Golden State Warriors,2016-17,41,36,5,0.878,41,31,10,0.756
Boston Celtics,2016-17,41,30,11,0.732,41,23,18,0.561
Portland Trail Blazers,2016-17,41,25,16,0.61,40,16,24,0.4
Denver Nuggets,2016-17,41,22,19,0.537,41,18,23,0.439
Brooklyn Nets,2016-17,41,13,28,0.317,41,7,34,0.171
Dallas Mavericks,2016-17,41,21,20,0.512,41,12,29,0.293
Miami Heat,2016-17,41,23,18,0.561,41,18,23,0.439
Philadelphia 76ers,2016-17,41,17,24,0.415,41,11,30,0.268
Utah Jazz,2016-17,41,29,12,0.707,41,22,19,0.537
Charlotte Hornets,2016-17,41,22,19,0.537,41,14,27,0.341
LA Clippers,2016-17,41,29,12,0.707,41,22,19,0.537
Washington Wizards,2016-17,41,30,11,0.732,41,19,22,0.463
New Orleans Pelicans,2016-17,41,21,20,0.512,41,13,28,0.317
San Antonio Spurs,2016-17,41,31,10,0.756,41,30,11,0.732
Sacramento Kings,2016-17,41,17,24,0.415,41,15,26,0.366
Los Angeles Lakers,2016-17,41,17,24,0.415,41,9,32,0.22
Toronto Raptors,2016-17,41,28,13,0.683,41,23,18,0.561
Memphis Grizzlies,2016-17,40,23,17,0.575,41,19,22,0.463
Atlanta Hawks,2016-17,41,23,18,0.561,41,20,21,0.488
Indiana Pacers,2016-17,41,29,12,0.707,41,13,28,0.317
New York Knicks,2016-17,41,19,22,0.463,41,12,29,0.293
Milwaukee Bucks,2016-17,41,23,18,0.561,41,19,22,0.463
Oklahoma City Thunder,2016-17,41,28,13,0.683,41,19,22,0.463
Orlando Magic,2016-17,41,16,25,0.39,41,13,28,0.317
Detroit Pistons,2016-17,41,24,17,0.585,41,13,28,0.317
Minnesota Timberwolves,2016-17,41,20,21,0.488,41,11,30,0.268
Phoenix Suns,2016-17,41,15,26,0.366,41,9,32,0.22
Chicago Bulls,2016-17,41,25,16,0.61,41,16,25,0.39
Houston Rockets,2018-19,41,31,10,0.756,41,22,19,0.537
Milwaukee Bucks,2018-19,41,33,8,0.805,41,27,14,0.659
Atlanta Hawks,2018-19,41,17,24,0.415,41,12,29,0.293
Golden State Warriors,2018-19,41,30,11,0.732,41,27,14,0.659
Utah Jazz,2018-19,41,29,12,0.707,41,21,20,0.512
Brooklyn Nets,2018-19,41,23,18,0.561,41,19,22,0.463
Boston Celtics,2018-19,41,28,13,0.683,41,21,20,0.512
Dallas Mavericks,2018-19,41,24,17,0.585,41,9,32,0.22
Toronto Raptors,2018-19,41,32,9,0.78,41,26,15,0.634
Charlotte Hornets,2018-19,41,25,16,0.61,41,14,27,0.341
Portland Trail Blazers,2018-19,41,32,9,0.78,41,21,20,0.512
Detroit Pistons,2018-19,41,26,15,0.634,41,15,26,0.366
Oklahoma City Thunder,2018-19,41,27,14,0.659,41,22,19,0.537
Sacramento Kings,2018-19,41,24,17,0.585,41,15,26,0.366
Orlando Magic,2018-19,41,25,16,0.61,41,17,24,0.415
Philadelphia 76ers,2018-19,41,31,10,0.756,41,20,21,0.488
Miami Heat,2018-19,41,19,22,0.463,41,20,21,0.488
Washington Wizards,2018-19,41,22,19,0.537,41,10,31,0.244
Denver Nuggets,2018-19,41,34,7,0.829,41,20,21,0.488
Cleveland Cavaliers,2018-19,41,13,28,0.317,41,6,35,0.146
New York Knicks,2018-19,41,9,32,0.22,41,8,33,0.195
Minnesota Timberwolves,2018-19,41,25,16,0.61,41,11,30,0.268
LA Clippers,2018-19,41,26,15,0.634,41,22,19,0.537
San Antonio Spurs,2018-19,41,32,9,0.78,41,16,25,0.39
New Orleans Pelicans,2018-19,41,19,22,0.463,41,14,27,0.341
Phoenix Suns,2018-19,41,12,29,0.293,41,7,34,0.171
Indiana Pacers,2018-19,41,29,12,0.707,41,19,22,0.463
Los Angeles Lakers,2018-19,41,22,19,0.537,41,15,26,0.366
Memphis Grizzlies,2018-19,41,21,20,0.512,41,12,29,0.293
Chicago Bulls,2018-19,41,9,32,0.22,41,13,28,0.317
New York Knicks,2012-13,41,31,10,0.756,41,23,18,0.561
Houston Rockets,2012-13,41,29,12,0.707,41,16,25,0.39
Atlanta Hawks,2012-13,41,25,16,0.61,41,19,22,0.463
Miami Heat,2012-13,41,37,4,0.902,41,29,12,0.707
Los Angeles Lakers,2012-13,41,29,12,0.707,41,16,25,0.39
Los Angeles Clippers,2012-13,41,32,9,0.78,41,24,17,0.585
Golden State Warriors,2012-13,41,28,13,0.683,41,19,22,0.463
San Antonio Spurs,2012-13,41,35,6,0.854,41,23,18,0.561
Sacramento Kings,2012-13,41,20,21,0.488,41,8,33,0.195
Brooklyn Nets,2012-13,41,26,15,0.634,41,23,18,0.561
Portland Trail Blazers,2012-13,41,22,19,0.537,41,11,30,0.268
Dallas Mavericks,2012-13,41,24,17,0.585,41,17,24,0.415
Oklahoma City Thunder,2012-13,41,34,7,0.829,41,26,15,0.634
Indiana Pacers,2012-13,41,30,11,0.732,40,19,21,0.475
Milwaukee Bucks,2012-13,41,21,20,0.512,41,17,24,0.415
Orlando Magic,2012-13,41,12,29,0.293,41,8,33,0.195
Toronto Raptors,2012-13,41,21,20,0.512,41,13,28,0.317
Denver Nuggets,2012-13,41,38,3,0.927,41,19,22,0.463
Washington Wizards,2012-13,41,22,19,0.537,41,7,34,0.171
Cleveland Cavaliers,2012-13,41,14,27,0.341,41,10,31,0.244
New Orleans Hornets,2012-13,41,16,25,0.39,41,11,30,0.268
Philadelphia 76ers,2012-13,41,23,18,0.561,41,11,30,0.268
Utah Jazz,2012-13,41,30,11,0.732,41,13,28,0.317
Detroit Pistons,2012-13,41,18,23,0.439,41,11,30,0.268
Phoenix Suns,2012-13,41,17,24,0.415,41,8,33,0.195
Boston Celtics,2012-13,40,27,13,0.675,41,14,27,0.341
Charlotte Bobcats,2012-13,41,15,26,0.366,41,6,35,0.146
Chicago Bulls,2012-13,41,24,17,0.585,41,21,20,0.512
Minnesota Timberwolves,2012-13,41,20,21,0.488,41,11,30,0.268
Memphis Grizzlies,2012-13,41,32,9,0.78,41,24,17,0.585
Golden State Warriors,2015-16,41,39,2,0.951,41,34,7,0.829
Portland Trail Blazers,2015-16,41,28,13,0.683,41,16,25,0.39
Houston Rockets,2015-16,41,23,18,0.561,41,18,23,0.439
Charlotte Hornets,2015-16,41,30,11,0.732,41,18,23,0.439
Cleveland Cavaliers,2015-16,41,33,8,0.805,41,24,17,0.585
Atlanta Hawks,2015-16,41,27,14,0.659,41,21,20,0.512
LA Clippers,2015-16,41,29,12,0.707,41,24,17,0.585
Dallas Mavericks,2015-16,41,23,18,0.561,41,19,22,0.463
New Orleans Pelicans,2015-16,41,21,20,0.512,41,9,32,0.22
Phoenix Suns,2015-16,41,14,27,0.341,41,9,32,0.22
Philadelphia 76ers,2015-16,41,7,34,0.171,41,3,38,0.073
Detroit Pistons,2015-16,41,26,15,0.634,41,18,23,0.439
Utah Jazz,2015-16,41,24,17,0.585,41,16,25,0.39
Toronto Raptors,2015-16,41,32,9,0.78,41,24,17,0.585
Washington Wizards,2015-16,41,22,19,0.537,41,19,22,0.463
Boston Celtics,2015-16,41,28,13,0.683,41,20,21,0.488
Orlando Magic,2015-16,41,23,18,0.561,41,12,29,0.293
Sacramento Kings,2015-16,41,18,23,0.439,41,15,26,0.366
Indiana Pacers,2015-16,41,26,15,0.634,41,19,22,0.463
Denver Nuggets,2015-16,41,18,23,0.439,41,15,26,0.366
Oklahoma City Thunder,2015-16,41,32,9,0.78,41,23,18,0.561
Chicago Bulls,2015-16,41,26,15,0.634,41,16,25,0.39
San Antonio Spurs,2015-16,41,40,1,0.976,41,27,14,0.659
New York Knicks,2015-16,41,18,23,0.439,41,14,27,0.341
Los Angeles Lakers,2015-16,41,12,29,0.293,41,5,36,0.122
Brooklyn Nets,2015-16,41,14,27,0.341,41,7,34,0.171
Memphis Grizzlies,2015-16,41,26,15,0.634,41,16,25,0.39
Miami Heat,2015-16,41,28,13,0.683,41,20,21,0.488
Milwaukee Bucks,2015-16,41,23,18,0.561,41,10,31,0.244
Minnesota Timberwolves,2015-16,41,14,27,0.341,41,15,26,0.366
Houston Rockets,2017-18,41,34,7,0.829,41,31,10,0.756
Brooklyn Nets,2017-18,41,15,26,0.366,41,13,28,0.317
Toronto Raptors,2017-18,41,34,7,0.829,41,25,16,0.61
Dallas Mavericks,2017-18,41,15,26,0.366,41,9,32,0.22
Chicago Bulls,2017-18,41,17,24,0.415,41,10,31,0.244
Atlanta Hawks,2017-18,41,16,25,0.39,41,8,33,0.195
Boston Celtics,2017-18,41,27,14,0.659,41,28,13,0.683
Denver Nuggets,2017-18,41,31,10,0.756,41,15,26,0.366
Golden State Warriors,2017-18,41,29,12,0.707,41,29,12,0.707
Cleveland Cavaliers,2017-18,41,29,12,0.707,41,21,20,0.512
Detroit Pistons,2017-18,41,25,16,0.61,41,14,27,0.341
Portland Trail Blazers,2017-18,41,28,13,0.683,41,21,20,0.512
Miami Heat,2017-18,41,26,15,0.634,41,18,23,0.439
Philadelphia 76ers,2017-18,41,30,11,0.732,41,22,19,0.537
Utah Jazz,2017-18,41,28,13,0.683,41,20,21,0.488
Oklahoma City Thunder,2017-18,41,27,14,0.659,41,21,20,0.512
Washington Wizards,2017-18,41,23,18,0.561,41,20,21,0.488
Orlando Magic,2017-18,41,17,24,0.415,41,8,33,0.195
Charlotte Hornets,2017-18,41,21,20,0.512,41,15,26,0.366
New Orleans Pelicans,2017-18,41,24,17,0.585,41,24,17,0.585
Indiana Pacers,2017-18,41,27,14,0.659,41,21,20,0.512
Memphis Grizzlies,2017-18,41,16,25,0.39,41,6,35,0.146
Los Angeles Lakers,2017-18,41,20,21,0.488,41,15,26,0.366
LA Clippers,2017-18,41,22,19,0.537,41,20,21,0.488
Phoenix Suns,2017-18,41,10,31,0.244,41,11,30,0.268
San Antonio Spurs,2017-18,41,33,8,0.805,41,14,27,0.341
New York Knicks,2017-18,41,19,22,0.463,41,10,31,0.244
Sacramento Kings,2017-18,41,14,27,0.341,41,13,28,0.317
Milwaukee Bucks,2017-18,41,25,16,0.61,41,19,22,0.463
Minnesota Timberwolves,2017-18,41,30,11,0.732,41,17,24,0.415
