coach,team,seas_num_fr,seas_num_ovr,games,wins,losses,fr_g,fr_w,fr_l,car_g,car_w,car_l,car_w_pct,p_g,p_w,p_l,p_fr_g,p_fr_w,p_fr_l,p_car_g,p_car_w,p_car_l,year
Larry Brown,PHI,5,23,82,43,39,378,207,171,1818,1060,758,.583,5,2,3,46,22,24,171,83,88,2002
Scott Skiles,PHO,3,3,51,25,26,195,116,79,195,116,79,.595,,,,13,5,8,13,5,8,2002
Frank Johnson,PHO,1,1,31,11,20,31,11,20,31,11,20,.355,,,,,,,,,,2002
Maurice Cheeks,POR,1,1,82,49,33,82,49,33,82,49,33,.598,3,0,3,3,0,3,3,0,3,2002
Rick Adelman,SAC,4,12,82,61,21,296,187,109,905,544,361,.601,16,10,6,34,17,17,103,53,50,2002
Gregg Popovich,SAS,6,6,82,58,24,442,279,163,442,279,163,.631,10,4,6,53,31,22,53,31,22,2002
Nate McMillan,SEA,2,2,82,45,37,149,83,66,149,83,66,.557,5,2,3,5,2,3,5,2,3,2002
Lenny Wilkens,TOR,2,29,82,42,40,164,89,75,2324,1268,1056,.546,5,2,3,17,8,9,174,80,94,2002
Jerry Sloan,UTA,14,17,82,44,38,1099,734,365,1314,828,486,.630,4,1,3,147,75,72,153,77,76,2002
Doug Collins,WAS,1,7,82,37,45,82,37,45,537,295,242,.549,,,,,,,38,15,23,2002
Lon Kruger,ATL,3,3,27,11,16,191,69,122,191,69,122,.361,,,,,,,,,,2003
Terry Stotts,ATL,1,1,55,24,31,55,24,31,55,24,31,.436,,,,,,,,,,2003
Jim O'Brien,BOS,3,3,82,44,38,212,117,95,212,117,95,.552,10,4,6,26,13,13,26,13,13,2003
Bill Cartwright,CHI,2,2,82,30,52,137,47,90,137,47,90,.343,,,,,,,,,,2003
John Lucas,CLE,2,6,42,8,34,124,37,87,431,173,258,.401,,,,,,,14,6,8,2003
Keith Smart,CLE,1,1,40,9,31,40,9,31,40,9,31,.225,,,,,,,,,,2003
Don Nelson,DAL,6,25,82,60,22,444,245,199,1924,1096,828,.570,20,10,10,38,18,20,150,69,81,2003
Jeff Bzdelik,DEN,1,1,82,17,65,82,17,65,82,17,65,.207,,,,,,,,,,2003
Rick Carlisle,DET,2,2,82,50,32,164,100,64,164,100,64,.610,17,8,9,27,12,15,27,12,15,2003
Eric Musselman,GSW,1,1,82,38,44,82,38,44,82,38,44,.463,,,,,,,,,,2003
Rudy Tomjanovich,HOU,12,12,82,43,39,900,503,397,900,503,397,.559,,,,90,51,39,90,51,39,2003
Isiah Thomas,IND,3,3,82,48,34,246,131,115,246,131,115,.533,6,2,4,15,5,10,15,5,10,2003
Alvin Gentry,LAC,3,7,58,19,39,222,89,133,403,177,226,.439,,,,,,,5,2,3,2003
Dennis Johnson,LAC,1,1,24,8,16,24,8,16,24,8,16,.333,,,,,,,,,,2003
Phil Jackson,LAL,4,13,82,50,32,328,231,97,1066,776,290,.728,12,6,6,70,51,19,222,162,60,2003
Sidney Lowe,MEM,3,5,8,0,8,172,46,126,307,79,228,.257,,,,,,,,,,2003
Hubie Brown,MEM,1,13,74,28,46,74,28,46,993,473,520,.476,,,,,,,59,31,28,2003
Pat Riley,MIA,8,21,82,25,57,624,354,270,1679,1110,569,.661,,,,43,18,25,255,155,100,2003
George Karl,MIL,5,16,82,42,40,378,205,173,1207,708,499,.587,6,2,4,32,14,18,126,59,67,2003
Flip Saunders,MIN,8,8,82,51,31,604,328,276,604,328,276,.543,6,2,4,29,7,22,29,7,22,2003
Byron Scott,NJN,3,3,82,49,33,246,127,119,246,127,119,.516,20,14,6,40,25,15,40,25,15,2003
Paul Silas,NOH,1,8,82,47,35,82,47,35,609,286,323,.470,6,2,4,6,2,4,29,13,16,2003
Don Chaney,NYK,2,11,82,37,45,145,57,88,792,322,470,.407,,,,,,,11,2,9,2003
Doc Rivers,ORL,4,4,82,42,40,328,170,158,328,170,158,.518,7,3,4,15,5,10,15,5,10,2003
Larry Brown,PHI,6,24,82,48,34,460,255,205,1900,1108,792,.583,12,6,6,58,28,30,183,89,94,2003
Frank Johnson,PHO,2,2,82,44,38,113,55,58,113,55,58,.487,6,2,4,6,2,4,6,2,4,2003
Maurice Cheeks,POR,2,2,82,50,32,164,99,65,164,99,65,.604,7,3,4,10,3,7,10,3,7,2003
Rick Adelman,SAC,5,13,82,59,23,378,246,132,987,603,384,.611,12,7,5,46,24,22,115,60,55,2003
