TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,LOCATION
Houston Rockets,2018-19,41.0,22.0,19.0,0.537,48.5,111.0,39.0,87.2,44.7,15.5,44.3,34.9,17.6,22.3,79.0,10.2,31.2,41.4,20.8,13.4,8.5,5.0,4.7,22.5,19.0,2.4,Road
Golden State Warriors,2018-19,41.0,27.0,14.0,0.659,48.4,117.2,43.9,89.6,48.9,13.3,34.0,39.2,16.2,20.2,80.3,9.6,36.7,46.3,28.2,13.9,7.4,5.9,3.7,21.2,19.4,6.3,Road
Milwaukee Bucks,2018-19,41.0,27.0,14.0,0.659,48.5,116.4,42.7,91.3,46.8,13.0,37.6,34.5,18.0,23.3,77.1,9.4,39.9,49.3,26.0,13.7,7.4,6.0,5.3,20.1,19.7,5.7,Road
Atlanta Hawks,2018-19,41.0,12.0,29.0,0.293,48.1,110.9,40.6,90.6,44.8,12.8,36.2,35.4,17.0,22.9,73.9,12.0,32.9,44.9,24.9,18.0,9.3,4.6,5.7,23.0,22.1,-8.0,Road
Brooklyn Nets,2018-19,41.0,19.0,22.0,0.463,48.7,110.7,39.4,89.5,44.1,12.8,36.4,35.1,19.0,25.7,74.0,10.9,34.5,45.3,23.5,14.9,6.6,4.4,5.1,21.0,21.9,-2.7,Road
Detroit Pistons,2018-19,41.0,15.0,26.0,0.366,48.2,105.4,38.0,88.1,43.1,12.6,36.2,34.9,16.9,22.3,75.6,10.9,32.8,43.7,21.6,13.8,7.2,4.0,4.7,22.7,20.6,-3.0,Road
Toronto Raptors,2018-19,41.0,26.0,15.0,0.634,48.7,113.7,41.6,88.6,46.9,12.6,34.5,36.5,18.0,22.3,80.8,9.7,36.0,45.6,25.0,14.3,7.9,4.8,4.2,21.4,20.5,4.6,Road
Boston Celtics,2018-19,41.0,21.0,20.0,0.512,48.2,110.7,41.2,90.1,45.7,12.5,34.3,36.5,15.7,19.7,79.9,9.3,33.7,43.0,25.1,12.1,8.3,5.2,3.6,20.8,19.6,2.1,Road
Dallas Mavericks,2018-19,41.0,9.0,32.0,0.22,48.4,107.4,38.7,87.7,44.1,12.4,36.7,33.9,17.6,23.7,74.2,9.4,35.4,44.8,23.1,14.0,6.1,4.1,4.9,20.4,22.4,-4.9,Road
Charlotte Hornets,2018-19,41.0,14.0,27.0,0.341,48.4,108.3,39.5,90.5,43.6,11.9,34.8,34.2,17.5,22.2,78.7,10.2,32.7,42.9,22.7,12.0,7.4,4.6,6.1,18.3,20.1,-5.9,Road
Orlando Magic,2018-19,41.0,17.0,24.0,0.415,48.1,105.3,39.7,89.7,44.3,11.5,32.7,35.3,14.3,18.4,77.9,9.9,34.9,44.8,26.0,12.3,6.7,5.3,4.8,18.9,18.3,-1.2,Road
Washington Wizards,2018-19,41.0,10.0,31.0,0.244,48.4,111.6,41.1,90.3,45.6,11.5,34.7,33.3,17.8,23.0,77.5,9.3,32.1,41.4,25.9,14.1,8.5,4.1,4.8,21.0,20.6,-7.6,Road
Miami Heat,2018-19,41.0,20.0,21.0,0.488,48.2,105.4,39.9,88.3,45.2,11.4,33.1,34.5,14.2,20.4,69.8,10.8,35.3,46.1,24.7,15.2,7.9,5.3,4.6,20.6,19.7,-0.7,Road
Utah Jazz,2018-19,41.0,21.0,20.0,0.512,48.4,110.8,40.4,86.1,46.9,11.4,32.6,34.9,18.6,25.2,73.7,9.5,35.2,44.7,25.5,15.3,8.4,5.8,4.7,21.2,22.0,2.7,Road
Oklahoma City Thunder,2018-19,41.0,22.0,19.0,0.537,48.4,114.5,42.9,94.2,45.5,11.1,32.9,33.9,17.6,24.6,71.5,12.8,35.9,48.7,22.6,14.0,9.3,5.3,5.0,23.0,22.3,2.0,Road
Sacramento Kings,2018-19,41.0,15.0,26.0,0.366,48.0,113.4,43.0,92.6,46.5,11.1,29.4,37.7,16.3,22.5,72.5,10.6,33.2,43.8,25.4,13.6,8.2,4.3,5.1,22.2,21.7,-3.7,Road
Denver Nuggets,2018-19,41.0,20.0,21.0,0.488,48.2,107.2,40.6,91.0,44.7,11.0,31.8,34.5,15.0,20.2,74.2,12.1,33.5,45.6,26.5,13.9,7.7,4.6,5.6,19.9,19.9,-2.6,Road
Los Angeles Lakers,2018-19,41.0,15.0,26.0,0.366,48.4,112.5,42.8,91.3,46.9,10.8,31.4,34.2,16.2,22.9,70.8,10.0,36.1,46.1,25.1,15.4,8.2,5.0,5.5,21.2,20.3,-3.3,Road
New Orleans Pelicans,2018-19,41.0,14.0,27.0,0.341,48.2,115.8,43.8,92.0,47.5,10.4,29.8,35.1,17.8,23.6,75.5,11.1,36.7,47.8,26.9,14.7,6.9,5.5,5.3,21.5,20.8,-1.8,Road
Philadelphia 76ers,2018-19,41.0,20.0,21.0,0.488,48.5,112.1,40.8,89.0,45.8,10.4,30.9,33.7,20.1,26.8,75.2,11.5,36.4,48.0,26.0,15.6,7.5,5.0,4.1,21.1,21.7,-2.7,Road
Memphis Grizzlies,2018-19,41.0,12.0,29.0,0.293,48.6,102.5,37.5,83.6,44.9,10.3,28.8,35.7,17.2,22.1,77.6,8.1,32.6,40.6,24.1,14.4,8.2,5.5,5.0,22.4,20.9,-5.6,Road
Portland Trail Blazers,2018-19,41.0,21.0,20.0,0.512,48.2,111.1,41.1,90.2,45.5,10.1,29.1,34.8,18.8,22.8,82.4,11.6,35.4,46.9,22.2,14.2,6.7,5.0,5.3,20.9,20.5,0.0,Road
Cleveland Cavaliers,2018-19,41.0,6.0,35.0,0.146,48.0,103.8,38.7,87.5,44.3,9.8,27.9,35.0,16.6,21.0,78.7,10.3,31.6,41.9,20.2,12.9,6.3,2.5,5.6,19.5,19.9,-11.9,Road
Minnesota Timberwolves,2018-19,41.0,11.0,30.0,0.268,48.1,110.3,41.1,91.2,45.0,9.7,27.8,35.0,18.4,23.4,78.7,11.5,32.1,43.5,23.8,12.7,7.8,4.7,6.0,20.5,21.4,-5.9,Road
LA Clippers,2018-19,41.0,22.0,19.0,0.537,48.1,112.4,39.8,85.2,46.7,9.6,24.7,39.0,23.1,29.4,78.8,8.5,35.5,44.0,22.2,14.8,6.7,4.5,6.0,22.8,24.4,-1.6,Road
San Antonio Spurs,2018-19,41.0,16.0,25.0,0.39,48.2,110.5,42.0,89.3,47.0,9.6,26.0,36.7,17.0,20.7,81.8,9.9,34.4,44.3,23.9,12.2,6.1,4.6,4.1,18.8,19.4,-3.5,Road
New York Knicks,2018-19,41.0,8.0,33.0,0.195,48.1,103.2,37.8,88.9,42.5,9.5,28.3,33.5,18.1,23.9,75.9,10.3,34.2,44.5,19.3,13.5,7.3,5.3,6.1,20.9,20.9,-10.6,Road
Chicago Bulls,2018-19,41.0,13.0,28.0,0.317,48.7,106.3,40.1,87.6,45.8,9.4,26.2,35.9,16.7,21.2,78.8,8.3,34.7,43.0,21.2,14.8,7.7,4.8,5.9,20.8,19.2,-7.0,Road
Phoenix Suns,2018-19,41.0,7.0,34.0,0.171,48.6,107.4,39.9,88.1,45.3,9.2,29.4,31.3,18.5,23.6,78.3,9.4,31.4,40.8,23.2,16.1,8.8,4.9,5.2,23.9,21.2,-12.4,Road
Indiana Pacers,2018-19,41.0,19.0,22.0,0.463,48.1,107.3,40.8,86.4,47.2,9.1,24.7,36.8,16.7,22.1,75.3,9.4,32.1,41.5,25.2,13.9,8.9,4.4,5.4,20.0,20.7,-1.0,Road
Indiana Pacers,1999-00,41.0,20.0,21.0,0.488,48.1,98.6,36.3,81.5,44.6,7.1,18.6,38.0,18.9,23.5,80.4,10.9,30.9,41.8,22.2,15.2,6.6,4.7,4.1,22.7,2.2,-0.1,Road
Houston Rockets,1999-00,41.0,12.0,29.0,0.293,48.5,97.8,35.5,80.3,44.2,6.9,19.4,35.5,20.0,27.0,74.0,12.1,30.7,42.8,19.9,18.2,7.7,5.1,6.1,20.1,1.8,-4.9,Road
Seattle SuperSonics,1999-00,41.0,21.0,20.0,0.512,48.5,98.3,37.6,85.2,44.1,6.7,19.8,33.7,16.5,24.1,68.5,12.6,30.4,43.0,21.5,13.9,7.3,4.3,6.0,21.4,2.0,-1.9,Road
Dallas Mavericks,1999-00,41.0,18.0,23.0,0.439,48.2,100.8,38.4,85.5,44.9,6.6,16.8,39.6,17.3,21.6,80.2,11.4,28.8,40.2,22.6,13.8,7.4,3.9,4.9,21.1,3.0,-1.9,Road
Sacramento Kings,1999-00,41.0,14.0,27.0,0.341,48.2,103.1,39.0,88.4,44.1,6.1,19.4,31.3,19.0,25.1,75.9,12.6,30.7,43.3,23.5,16.7,10.2,4.3,5.1,21.5,2.8,-3.1,Road
New Jersey Nets,1999-00,41.0,9.0,32.0,0.22,48.5,95.0,35.7,82.9,43.1,6.0,16.8,36.0,17.6,22.6,77.8,11.3,27.9,39.2,19.3,14.1,8.9,4.5,6.5,22.5,2.0,-4.6,Road
Phoenix Suns,1999-00,41.0,21.0,20.0,0.512,48.2,96.7,36.7,82.9,44.3,5.8,15.6,37.0,17.5,23.3,74.9,12.7,31.0,43.7,23.9,16.6,9.0,4.6,5.7,24.3,2.5,1.3,Road
Los Angeles Clippers,1999-00,41.0,5.0,36.0,0.122,48.0,90.6,34.8,82.8,42.0,5.6,15.9,35.5,15.5,20.9,74.0,11.5,29.2,40.7,18.7,16.0,6.3,6.2,5.2,21.7,2.0,-14.1,Road
Detroit Pistons,1999-00,41.0,15.0,26.0,0.366,48.5,103.0,37.0,81.0,45.7,5.5,15.1,36.5,23.4,29.9,78.3,10.6,29.1,39.7,21.3,15.3,8.2,3.3,5.4,24.6,3.4,-1.2,Road
Miami Heat,1999-00,41.0,19.0,22.0,0.463,48.1,90.7,34.5,77.1,44.7,5.4,13.9,38.6,16.3,22.5,72.6,10.4,31.2,41.6,23.0,15.5,6.8,5.9,5.0,24.1,1.9,-2.3,Road
Portland Trail Blazers,1999-00,41.0,29.0,12.0,0.707,48.4,97.0,36.5,79.3,46.0,5.3,13.9,38.2,18.7,24.8,75.6,11.7,31.3,43.0,22.8,14.7,8.0,5.5,5.0,23.4,1.5,5.4,Road
Toronto Raptors,1999-00,41.0,19.0,22.0,0.463,48.4,97.5,36.3,84.0,43.2,5.2,14.2,36.5,19.8,26.2,75.3,13.1,30.8,44.0,22.6,14.3,8.0,4.3,4.3,25.5,2.1,-1.5,Road
Denver Nuggets,1999-00,41.0,10.0,31.0,0.244,48.2,95.9,36.5,83.0,44.0,5.0,16.6,30.4,17.9,24.7,72.4,11.9,31.1,43.0,21.1,16.0,6.6,5.1,5.1,23.7,2.3,-8.0,Road
Milwaukee Bucks,1999-00,41.0,19.0,22.0,0.463,48.5,101.0,38.3,83.6,45.8,5.0,13.2,37.6,19.4,25.0,77.5,12.8,28.4,41.1,21.5,15.4,8.2,5.3,4.9,25.5,2.3,-3.8,Road
Boston Celtics,1999-00,41.0,9.0,32.0,0.22,48.2,97.7,36.6,83.4,43.9,4.7,15.7,30.0,19.8,26.8,73.8,12.8,28.2,41.0,19.3,15.7,8.9,3.0,6.8,28.5,2.4,-6.2,Road
Los Angeles Lakers,1999-00,41.0,31.0,10.0,0.756,48.5,99.3,38.0,82.6,46.0,4.4,12.5,35.4,18.9,27.1,69.5,12.7,32.0,44.6,22.7,13.8,6.9,5.7,4.4,22.3,2.8,5.6,Road
Golden State Warriors,1999-00,41.0,7.0,34.0,0.171,48.2,93.8,35.9,87.5,41.0,4.3,12.8,33.7,17.7,25.0,70.8,15.5,28.5,44.0,20.5,16.3,9.1,4.5,7.1,25.5,2.2,-11.5,Road
New York Knicks,1999-00,41.0,17.0,24.0,0.415,48.4,90.6,35.3,78.8,44.8,4.3,11.8,36.6,15.6,20.6,75.6,10.4,30.3,40.8,18.4,15.1,5.9,4.1,5.8,24.2,3.0,-2.3,Road
Washington Wizards,1999-00,41.0,12.0,29.0,0.293,48.2,94.5,36.1,82.3,43.9,4.1,11.2,36.3,18.2,25.0,72.8,13.9,29.6,43.5,21.2,16.2,7.1,4.5,6.7,26.3,2.7,-5.2,Road
Charlotte Hornets,1999-00,41.0,19.0,22.0,0.463,48.2,96.3,35.2,80.9,43.5,4.0,12.2,32.6,22.0,29.4,74.6,11.2,31.8,43.0,22.0,14.1,8.4,5.3,6.1,20.7,2.1,-1.5,Road
Chicago Bulls,1999-00,41.0,5.0,36.0,0.122,48.1,84.5,31.6,74.5,42.4,3.8,11.8,31.8,17.6,24.3,72.4,11.7,26.7,38.5,17.5,19.3,7.7,3.9,6.1,23.3,2.7,-13.3,Road
Vancouver Grizzlies,1999-00,41.0,10.0,31.0,0.244,48.2,94.3,34.8,77.6,44.8,3.7,10.4,35.7,21.0,27.2,77.4,12.0,26.7,38.7,19.8,16.9,7.1,3.5,6.9,23.5,2.8,-7.4,Road
San Antonio Spurs,1999-00,41.0,22.0,19.0,0.537,48.4,94.0,35.4,78.0,45.4,3.7,10.7,34.6,19.5,26.3,74.0,10.9,31.9,42.8,22.0,15.5,7.6,5.9,5.1,21.1,2.0,2.8,Road
Utah Jazz,1999-00,41.0,24.0,17.0,0.585,48.1,93.6,34.9,77.9,44.8,3.6,9.6,37.5,20.1,26.2,77.0,11.6,29.4,41.0,23.2,15.1,8.0,4.5,4.9,24.6,2.8,1.9,Road
Cleveland Cavaliers,1999-00,41.0,10.0,31.0,0.244,48.2,93.1,35.6,81.3,43.8,3.5,10.7,33.0,18.4,25.2,72.9,11.6,29.2,40.9,20.9,17.4,8.3,3.3,6.3,27.1,2.6,-8.9,Road
Orlando Magic,1999-00,41.0,15.0,26.0,0.366,48.2,96.5,37.2,84.7,43.9,3.3,10.2,32.4,18.8,25.4,73.7,13.5,31.0,44.4,20.0,19.0,8.9,6.0,6.1,24.5,2.9,-5.3,Road
Atlanta Hawks,1999-00,41.0,7.0,34.0,0.171,48.4,91.1,35.6,83.8,42.5,3.1,10.0,30.9,16.8,23.0,73.0,13.6,30.5,44.1,18.6,15.0,6.3,5.7,5.8,20.9,1.9,-8.8,Road
