TEAM,YEAR,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,LOCATION
Los Angeles Clippers,2013-14,41.0,23.0,18.0,0.561,48.2,105.1,38.2,82.3,46.4,8.7,24.3,35.8,20.0,27.4,72.9,10.2,31.5,41.8,23.3,13.4,7.9,4.4,3.8,21.8,22.6,3.2,Road
Brooklyn Nets,2013-14,41.0,16.0,25.0,0.39,48.7,96.5,35.1,79.6,44.1,8.3,23.9,34.8,18.0,23.8,75.7,9.3,29.0,38.4,20.2,14.4,8.5,3.9,4.6,21.3,20.2,-5.2,Road
Denver Nuggets,2013-14,41.0,14.0,27.0,0.341,48.2,102.8,37.7,84.2,44.8,8.3,23.5,35.2,19.0,26.2,72.6,12.1,31.8,44.0,21.4,16.5,7.7,4.8,5.5,22.9,21.2,-5.2,Road
Miami Heat,2013-14,41.0,22.0,19.0,0.537,48.6,99.9,37.2,76.2,48.9,8.3,23.1,35.9,17.1,22.5,76.3,7.1,29.4,36.4,23.2,15.0,9.0,4.5,3.3,20.4,20.5,2.4,Road
Toronto Raptors,2013-14,41.0,22.0,19.0,0.537,48.5,99.1,36.3,81.6,44.5,8.3,22.5,36.7,18.3,23.7,77.4,11.1,30.8,41.9,20.6,13.8,6.6,4.3,4.5,23.7,21.5,1.8,Road
Oklahoma City Thunder,2013-14,41.0,25.0,16.0,0.61,48.4,104.6,38.2,83.2,45.9,8.2,23.8,34.4,20.0,24.4,81.9,10.5,33.5,44.0,20.5,15.3,8.0,5.6,3.7,23.3,20.4,3.4,Road
San Antonio Spurs,2013-14,41.0,30.0,11.0,0.732,48.4,104.4,40.0,84.4,47.4,8.0,21.3,37.5,16.3,20.6,79.1,10.0,33.4,43.4,23.4,14.5,7.8,4.7,5.1,19.5,19.5,6.5,Road
Minnesota Timberwolves,2013-14,41.0,16.0,25.0,0.39,48.5,105.8,38.4,87.4,44.0,7.8,22.4,34.7,21.2,27.5,77.2,12.6,31.5,44.1,23.7,14.0,8.9,3.6,5.9,17.5,23.0,-0.9,Road
Indiana Pacers,2013-14,41.0,21.0,20.0,0.512,48.4,95.0,35.1,80.4,43.7,7.2,19.5,37.0,17.5,22.8,76.8,9.7,33.4,43.2,19.3,15.1,6.8,4.6,3.8,21.1,21.6,-1.7,Road
Cleveland Cavaliers,2013-14,41.0,14.0,27.0,0.341,48.1,97.6,36.7,83.6,43.9,7.1,20.1,35.5,17.0,22.4,75.7,11.2,30.0,41.2,18.9,13.9,7.5,3.0,5.4,20.0,18.8,-6.8,Road
Philadelphia 76ers,2013-14,41.0,9.0,32.0,0.22,48.2,98.6,37.7,88.0,42.8,6.9,22.7,30.5,16.4,22.7,72.0,11.4,31.2,42.6,20.4,16.5,9.5,4.1,7.5,23.4,20.5,-10.9,Road
Boston Celtics,2013-14,41.0,9.0,32.0,0.22,48.2,96.0,36.3,84.6,42.9,6.9,20.4,33.5,16.5,21.3,77.5,12.0,29.8,41.8,20.1,15.6,7.9,4.3,4.9,22.0,19.2,-6.4,Road
Orlando Magic,2013-14,41.0,4.0,37.0,0.098,48.5,92.9,35.5,82.8,42.8,6.8,19.7,34.7,15.1,20.2,74.8,9.8,31.3,41.1,20.3,14.6,7.5,4.0,5.7,21.0,18.4,-9.9,Road
Milwaukee Bucks,2013-14,41.0,5.0,36.0,0.122,48.6,96.6,36.4,82.5,44.1,6.8,19.1,35.5,17.0,22.9,74.6,11.4,29.0,40.4,21.5,15.1,7.0,5.2,5.7,21.1,21.0,-9.2,Road
Utah Jazz,2013-14,41.0,9.0,32.0,0.22,48.2,93.3,35.4,81.9,43.2,6.8,19.7,34.4,15.7,21.4,73.2,11.7,29.1,40.8,21.3,15.4,7.5,4.6,5.8,21.2,20.6,-10.7,Road
Charlotte Bobcats,2013-14,41.0,18.0,23.0,0.439,48.6,97.2,36.5,82.3,44.3,6.6,18.4,35.9,17.6,24.1,73.0,9.2,33.2,42.4,21.0,12.6,6.7,4.4,5.1,18.4,20.2,-2.6,Road
Detroit Pistons,2013-14,41.0,12.0,29.0,0.293,48.2,101.0,38.7,87.8,44.1,6.6,19.7,33.6,16.9,25.3,66.9,15.2,30.3,45.5,19.7,14.8,8.8,4.5,5.4,19.8,20.7,-4.8,Road
Chicago Bulls,2013-14,41.0,21.0,20.0,0.512,48.6,92.9,34.0,78.8,43.2,6.5,18.3,35.4,18.3,23.6,77.6,11.0,31.9,42.9,21.3,16.0,7.4,4.6,5.5,19.1,20.6,-1.1,Road
New Orleans Pelicans,2013-14,41.0,12.0,29.0,0.293,48.4,98.3,37.4,82.6,45.3,5.8,16.0,36.3,17.6,23.1,76.3,11.0,29.0,40.0,20.9,14.4,8.2,4.8,5.9,23.4,20.4,-6.6,Road
Sacramento Kings,2013-14,41.0,11.0,30.0,0.268,48.2,98.9,36.6,83.1,44.0,5.7,17.2,33.0,20.0,26.8,74.9,12.4,31.8,44.2,18.7,15.0,7.4,3.8,6.0,22.0,22.7,-5.3,Road
Memphis Grizzlies,2013-14,41.0,23.0,18.0,0.561,48.2,93.6,37.6,82.3,45.7,4.5,13.2,33.9,13.9,19.0,73.0,11.9,30.9,42.8,22.1,13.5,7.8,4.0,5.0,18.5,18.3,0.5,Road
